is_number,title,scope,domain
IS 14543:2004,Packaged Drinking Water (Other Than Packaged Natural Mineral Water),Specification,food
IS 13428:2005,Packaged Natural Mineral Water,Specification,food
IS 11196:1985,Compressed Natural Gas (CNG) Cylinder,Specification,chemicals
IS 9000:2006,Quality Management Systems Guidelines,Guidelines,quality
IS 16046:2018,Secondary Cells and Batteries Containing Alkaline or Other Non-Acid Electrolytes,Specification,electrical
IS 4985:2000,Unplasticized PVC Pipes for Potable Water Supplies,Specification,manufacturing
IS 277:2018,Galvanized Steel Sheets (Plain and Corrugated),Specification,manufacturing
IS 1786:2008,High Strength Deformed Steel Bars and Wires for Concrete Reinforcement,Specification,manufacturing
IS 269:2015,Ordinary Portland Cement,Specification,manufacturing
IS 875:1987,Code of Practice for Design Loads (Other Than Earthquake) for Buildings and Structures,Code of Practice,safety
IS 302-1:2008,Safety of Household and Similar Electrical Appliances Part 1,Specification,electrical
IS 694:2010,PVC Insulated Cables for Working Voltages Up to and Including 1100 V,Specification,electrical
IS 8623:1993,Specification for Low-Voltage Switchgear and Controlgear Assemblies,Specification,electrical
IS 13947:1993,Degrees of Protection Provided by Enclosures (IP Code),Specification,electrical
IS 732:2019,Code of Practice for Electrical Wiring Installations,Code of Practice,electrical
IS 3043:2018,Code of Practice for Earthing,Code of Practice,electrical
IS 1554-1:1988,PVC Insulated (Heavy Duty) Electric Cables Part 1,Specification,electrical
IS 4759:1996,Hot-Dip Zinc Coatings on Structural Steel and Other Allied Products,Specification,manufacturing
IS 2062:2011,Hot Rolled Medium and High Tensile Structural Steel,Specification,manufacturing
IS 800:2007,Code of Practice for General Construction in Steel,Code of Practice,manufacturing
IS 1239-1:2004,Steel Tubes Tubulars and Other Wrought Steel Fittings Part 1,Specification,manufacturing
IS 3589:2001,Steel Pipes for Water and Sewage,Specification,manufacturing
IS 12269:2013,Ordinary Portland Cement 53 Grade,Specification,manufacturing
IS 13311-1:1992,Method of Non-Destructive Testing of Concrete Part 1 Ultrasonic Pulse Velocity,Test Method,manufacturing
IS 5:2007,Colours for Ready Mixed Paints and Enamels,Specification,chemicals
IS 15683:2018,Portable Fire Extinguishers Performance and Construction,Specification,safety
IS 2190:2010,Code of Practice for Selection Installation and Maintenance of First-Aid Fire Extinguishers,Code of Practice,safety
IS 1893-1:2016,Criteria for Earthquake Resistant Design of Structures Part 1,Code of Practice,safety
IS 6313-2:2013,Code of Practice for Anti-Termite Measures in Buildings Part 2,Code of Practice,manufacturing
IS 7098-1:1988,Crosslinked Polyethylene Insulated PVC Sheathed Cables Part 1,Specification,electrical
