hsn_code,description,gst_rate
84821010,Ball Bearings (Radial),18
84821020,Ball Bearings (Thrust),18
84822000,Tapered Roller Bearings Including Cone and Tapered Roller Assemblies,18
84823000,Spherical Roller Bearings,18
84824000,Needle Roller Bearings,18
84818010,Industrial Valves (Pressure Reducing),18
84818020,Industrial Valves (Process Control),18
84818090,Other Industrial Valves,18
84811000,Pressure Reducing Valves,18
84812000,Valves for Oleohydraulic or Pneumatic Transmissions,18
84813000,Check (Non-Return) Valves,18
84814000,Safety or Relief Valves,18
84137010,Industrial Pumps (Single Stage Centrifugal),18
84137091,Submersible Pumps,18
84137099,Other Centrifugal Pumps,18
84138130,Hand Pumps for Water Supply,18
85013120,Electric Motors (Of an Output Not Exceeding 750 W) DC,18
85015210,AC Motors Multi-Phase Output Exceeding 750W But Not Exceeding 75 kW,18
85015220,AC Motors Multi-Phase Output Exceeding 75 kW But Not Exceeding 375 kW,18
85015230,AC Motors Multi-Phase Output Exceeding 375 kW,18
85371000,Boards Panels Consoles for Voltage Not Exceeding 1000 V,18
85372000,Boards Panels Consoles for Voltage Exceeding 1000 V,18
85363000,Other Apparatus for Protecting Electrical Circuits,18
85365090,Other Switches (Industrial),18
40103900,Conveyor Belts of Vulcanized Rubber Other Than V-Belts,18
40101200,Conveyor Belts Reinforced with Textile Materials,18
74091100,Plates Sheets and Strip of Refined Copper in Coils,18
74081100,Wire of Refined Copper Cross Section Exceeding 6mm,18
74081900,Other Wire of Refined Copper,18
72104900,Other Flat-Rolled Products of Iron or Non-Alloy Steel Plated or Coated with Zinc,18
73079990,Other Tube or Pipe Fittings of Iron or Steel,18
84122100,Hydraulic Power Engines and Motors Linear Acting (Cylinders),18
84122900,Other Hydraulic Power Engines and Motors,18
84143000,Compressors of a Kind Used in Refrigerating Equipment,18
84148011,Industrial Air Compressors (Reciprocating Type),18
84148020,Industrial Air Compressors (Centrifugal Type),18
85364900,Other Relays for Voltages Exceeding 60V,18
85044010,Static Converters (Inverters),18
85049090,Other Parts of Electrical Transformers,18
85322500,Fixed Capacitors with Dielectric of Paper or Plastics,18
